ImageId,id,WKT,Confidence
img1,0,"POLYGON ((999.4021273562685 982.1907845423557, 999.4021273562685 1000.467303468846, 989.1838917736895 1000.467303468846, 989.1838917736895 991.1628938339418, 986.9408644521609 991.1628938339418, 986.9408644521609 988.1721907365136, 989.1838917736895 988.1721907365136, 989.1838917736895 982.1907845423557, 999.4021273562685 982.1907845423557))",1
img1,1,"POLYGON ((322.536787211895 236.8657582522137, 305.9217700054869 236.8657582522137, 305.9217700054869 227.1182814904023, 322.536787211895 227.1182814904023, 322.536787211895 236.8657582522137))",1
img1,2,"POLYGON ((459.4530672715046 610.9551783057395, 446.3272036793642 610.9551783057395, 446.3272036793642 601.5676935830852, 459.4530672715046 601.5676935830852, 459.4530672715046 610.9551783057395))",1
img1,3,"POLYGON ((326.8218418597244 843.9490409023128, 319.9543014131486 843.9490409023128, 319.9543014131486 828.2201579469256, 326.8218418597244 828.2201579469256, 326.8218418597244 843.9490409023128))",1
img1,4,"POLYGON ((485.8861750606447 716.2390040021855, 478.4094173186459 716.2390040021855, 478.4094173186459 702.1162393762497, 485.8861750606447 702.1162393762497, 485.8861750606447 716.2390040021855))",1
img1,5,"POLYGON ((537.8727639503777 959.5836536807474, 529.676022128202 959.5836536807474, 529.676022128202 947.177774165757, 537.8727639503777 947.177774165757, 537.8727639503777 959.5836536807474))",1
img1,6,"POLYGON ((843.028692943044 988.2098052890506, 843.028692943044 999.7295505508082, 836.714986404404 999.7295505508082, 836.714986404404 996.5105294198729, 828.9044052660465 996.5105294198729, 828.9044052660465 992.9106090269051, 836.714986404404 992.9106090269051, 836.714986404404 988.2098052890506, 843.028692943044 988.2098052890506))",1
img1,7,"POLYGON ((305.7002364415675 226.4536808038829, 290.8574877376668 226.4536808038829, 290.8574877376668 220.9153417341877, 305.7002364415675 220.9153417341877, 305.7002364415675 226.4536808038829))",1
img1,8,"POLYGON ((853.4530931916088 580.1451211456442, 844.0379167762585 580.1451211456442, 844.0379167762585 575.7144498933339, 850.756060524378 575.7144498933339, 850.756060524378 568.1456634204369, 855.6574906003661 568.1456634204369, 855.6574906003661 577.0346976261353, 853.4530931916088 577.0346976261353, 853.4530931916088 580.1451211456442))",1
img1,9,"POLYGON ((244.4252411560155 733.4982717062812, 234.7885311753489 733.4982717062812, 234.7885311753489 727.3507153406972, 241.9052163767628 727.3507153406972, 241.9052163767628 723.9068344583502, 244.4528523474 723.9068344583502, 244.4528523474 728.1159721484873, 244.4252411560155 728.1159721484873, 244.4252411560155 733.4982717062812))",1
img1,10,"POLYGON ((628.0807691807859 750.1236700962763, 618.0286837695166 750.1236700962763, 618.0286837695166 743.4776632137364, 628.0807691807859 743.4776632137364, 628.0807691807859 750.1236700962763))",1
img1,11,"POLYGON ((386.0456929453649 783.2085093203932, 397.1223710835911 783.2085093203932, 397.1223710835911 789.1899155162973, 386.0456929453649 789.1899155162973, 386.0456929453649 783.2085093203932))",1
img1,12,"POLYGON ((340.2957365522161 1004.963653397514, 331.9882279494777 1004.963653397514, 331.9882279494777 996.9884451384423, 340.2957365522161 996.9884451384423, 340.2957365522161 1004.963653397514))",1
img1,13,"POLYGON ((972.6206118757837 185.2943601929583, 972.6206118757837 195.1526037364965, 979.1558519778773 195.1526037364965, 979.1558519778773 198.9186743025202, 972.6206118757837 198.9186743025202, 969.7406755597331 198.9186743025202, 969.7406755597331 185.2943601929583, 972.6206118757837 185.2943601929583))",1
