AOI,id,filename,Geometry
DHA,1,1,"POLYGON ((8277253.327992741 3701904.1441902677,8277414.964183043 3701904.1441902677,8277414.964183043 3702065.78038057,8277253.327992741 3702065.78038057,8277253.327992741 3701904.1441902677))"
DHA,2,2,"POLYGON ((8277253.327992741 3701742.5079999655,8277414.964183043 3701742.5079999655,8277414.964183043 3701904.1441902677,8277253.327992741 3701904.1441902677,8277253.327992741 3701742.5079999655))"
DHA,3,3,"POLYGON ((8277253.327992741 3701580.8718096637,8277414.964183043 3701580.8718096637,8277414.964183043 3701742.5079999655,8277253.327992741 3701742.5079999655,8277253.327992741 3701580.8718096637))"
DHA,4,4,"POLYGON ((8277253.327992741 3701419.2356193615,8277414.964183043 3701419.2356193615,8277414.964183043 3701580.8718096637,8277253.327992741 3701580.8718096637,8277253.327992741 3701419.2356193615))"
DHA,5,5,"POLYGON ((8277253.327992741 3701257.5994290593,8277414.964183043 3701257.5994290593,8277414.964183043 3701419.2356193615,8277253.327992741 3701419.2356193615,8277253.327992741 3701257.5994290593))"
DHA,6,6,"POLYGON ((8277253.327992741 3701095.963238757,8277414.964183043 3701095.963238757,8277414.964183043 3701257.5994290593,8277253.327992741 3701257.5994290593,8277253.327992741 3701095.963238757))"
DHA,7,7,"POLYGON ((8277253.327992741 3700934.3270484554,8277414.964183043 3700934.3270484554,8277414.964183043 3701095.963238757,8277253.327992741 3701095.963238757,8277253.327992741 3700934.3270484554))"
DHA,8,8,"POLYGON ((8277253.327992741 3700772.690858153,8277414.964183043 3700772.690858153,8277414.964183043 3700934.3270484554,8277253.327992741 3700934.3270484554,8277253.327992741 3700772.690858153))"
DHA,9,9,"POLYGON ((8277253.327992741 3700611.054667851,8277414.964183043 3700611.054667851,8277414.964183043 3700772.690858153,8277253.327992741 3700772.690858153,8277253.327992741 3700611.054667851))"
DHA,10,10,"POLYGON ((8277253.327992741 3700449.4184775488,8277414.964183043 3700449.4184775488,8277414.964183043 3700611.054667851,8277253.327992741 3700611.054667851,8277253.327992741 3700449.4184775488))"
DHA,11,11,"POLYGON ((8277253.327992741 3700287.7822872465,8277414.964183043 3700287.7822872465,8277414.964183043 3700449.4184775488,8277253.327992741 3700449.4184775488,8277253.327992741 3700287.7822872465))"
DHA,12,12,"POLYGON ((8277253.327992741 3700126.146096945,8277414.964183043 3700126.146096945,8277414.964183043 3700287.7822872465,8277253.327992741 3700287.7822872465,8277253.327992741 3700126.146096945))"
DHA,13,13,"POLYGON ((8277253.327992741 3699964.5099066426,8277414.964183043 3699964.5099066426,8277414.964183043 3700126.146096945,8277253.327992741 3700126.146096945,8277253.327992741 3699964.5099066426))"
DHA,14,14,"POLYGON ((8277253.327992741 3699802.8737163404,8277414.964183043 3699802.8737163404,8277414.964183043 3699964.5099066426,8277253.327992741 3699964.5099066426,8277253.327992741 3699802.8737163404))"
DHA,15,15,"POLYGON ((8277253.327992741 3699641.237526038,8277414.964183043 3699641.237526038,8277414.964183043 3699802.8737163404,8277253.327992741 3699802.8737163404,8277253.327992741 3699641.237526038))"
DHA,16,16,"POLYGON ((8277253.327992741 3699479.601335736,8277414.964183043 3699479.601335736,8277414.964183043 3699641.237526038,8277253.327992741 3699641.237526038,8277253.327992741 3699479.601335736))"
DHA,17,17,"POLYGON ((8277253.327992741 3699317.9651454343,8277414.964183043 3699317.9651454343,8277414.964183043 3699479.601335736,8277253.327992741 3699479.601335736,8277253.327992741 3699317.9651454343))"
DHA,18,18,"POLYGON ((8277253.327992741 3699156.328955132,8277414.964183043 3699156.328955132,8277414.964183043 3699317.9651454343,8277253.327992741 3699317.9651454343,8277253.327992741 3699156.328955132))"
DHA,19,19,"POLYGON ((8277253.327992741 3698994.69276483,8277414.964183043 3698994.69276483,8277414.964183043 3699156.328955132,8277253.327992741 3699156.328955132,8277253.327992741 3698994.69276483))"
DHA,20,20,"POLYGON ((8277253.327992741 3698833.0565745276,8277414.964183043 3698833.0565745276,8277414.964183043 3698994.69276483,8277253.327992741 3698994.69276483,8277253.327992741 3698833.0565745276))"
DHA,21,21,"POLYGON ((8277253.327992741 3698671.420384226,8277414.964183043 3698671.420384226,8277414.964183043 3698833.0565745276,8277253.327992741 3698833.0565745276,8277253.327992741 3698671.420384226))"
DHA,22,22,"POLYGON ((8277253.327992741 3698509.7841939237,8277414.964183043 3698509.7841939237,8277414.964183043 3698671.420384226,8277253.327992741 3698671.420384226,8277253.327992741 3698509.7841939237))"
DHA,23,23,"POLYGON ((8277253.327992741 3698348.1480036215,8277414.964183043 3698348.1480036215,8277414.964183043 3698509.7841939237,8277253.327992741 3698509.7841939237,8277253.327992741 3698348.1480036215))"
