TP9,AF7,AF8,TP10
-1000.0,-951.172,-951.66,-949.219
-1000.0,-1000.0,-1000.0,-1000.0
-586.914,-860.352,-815.43,-914.551
294.434,-497.559,-485.352,-548.34
984.375,682.129,638.184,605.957
-978.516,-893.066,-951.172,-943.848
547.852,-889.648,-859.375,-937.012
-287.598,520.02,538.086,534.18
-858.398,-343.75,-131.836,-362.305
-1000.0,-856.934,-825.195,-889.16
-1000.0,-1000.0,-1000.0,-1000.0
-661.133,-1000.0,-966.797,-1000.0
61.035,-581.543,-545.41,-586.914
910.645,530.762,573.242,354.004
-900.391,-1000.0,967.773,965.332
722.168,-829.102,-829.102,-848.145
-67.871,596.191,593.75,630.859
-738.77,19.531,50.781,-0.977
-1000.0,-838.379,-844.727,-827.148
-1000.0,-1000.0,-1000.0,-1000.0
-723.145,-1000.0,-1000.0,-1000.0
-950.195,-635.254,-385.254,-739.746
-1000.0,-959.961,-958.984,-945.801
-999.023,-1000.0,-1000.0,-1000.0
-575.195,-862.305,-820.801,-908.691
351.074,-502.441,-500.488,-475.098
895.508,581.543,538.086,554.199
-962.891,-895.02,-952.637,-919.922
594.238,-918.457,-870.117,-919.434
-245.605,521.484,535.156,551.758
-856.445,-424.316,-170.898,-269.531
-1000.0,-861.816,-827.637,-876.953
-1000.0,-1000.0,-1000.0,-1000.0
-722.168,-1000.0,-1000.0,-1000.0
136.23,-585.449,-543.945,-582.031
918.457,537.109,579.59,514.16
-897.949,994.141,968.75,976.074
631.836,-849.609,-834.473,-851.074
-666.016,-157.715,-158.203,-175.781
498.535,140.625,79.102,36.621
-865.234,782.227,771.973,643.066
-991.699,-774.414,-800.781,-794.922
187.012,-991.699,-995.605,-973.145
-495.605,43.945,268.066,63.965
-997.07,-351.562,-303.223,-310.547
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-284.668,-967.773,-981.934,-997.07
326.66,47.852,-55.664,-12.207
-922.852,510.742,360.352,401.367
-901.367,-815.918,-838.867,-804.199
319.336,-908.691,-889.16,-888.184
-383.301,305.664,461.426,356.934
-914.062,-231.934,-207.031,-279.785
-1000.0,-1000.0,-991.699,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-501.465,-1000.0,-1000.0,-1000.0
229.004,-75.684,-89.844,-266.602
996.094,359.375,294.434,287.109
-845.703,-874.023,-875.488,-879.395
473.633,-864.258,-843.75,-850.586
-267.09,628.418,629.883,460.938
-815.918,-220.703,-246.582,-223.145
-1000.0,-972.656,-852.539,-929.688
-1000.0,-1000.0,-1000.0,-1000.0
-669.922,-1000.0,-1000.0,-1000.0
135.254,-300.781,-201.66,-396.484
872.07,197.266,181.152,177.246
-825.684,-931.152,-925.293,-955.566
667.48,-812.988,-833.008,-821.289
-70.801,811.035,740.723,701.172
-734.375,-213.379,-247.559,-189.453
-1000.0,-745.605,-714.844,-724.121
911.621,-802.246,-825.684,-810.059
359.375,945.801,-976.562,901.367
-501.465,497.559,528.32,365.723
-982.422,-675.781,-488.77,-693.359
-1000.0,-1000.0,-1000.0,-1000.0
-956.543,-1000.0,-1000.0,-1000.0
-531.738,-758.301,-772.949,-810.059
478.516,-391.602,-476.562,-452.148
-963.867,751.953,654.297,723.145
969.727,-851.562,-918.945,-885.254
477.539,-950.684,-914.551,991.211
-334.473,511.719,503.418,474.609
-912.109,-460.449,-272.461,-737.793
-1000.0,-902.344,-866.211,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-600.586,-920.41,-856.445,-1000.0
270.508,-538.086,-527.344,-539.551
982.91,643.066,631.348,652.344
-1000.0,-839.355,-849.121,-792.48
-1000.0,-1000.0,-1000.0,-1000.0
-733.887,-1000.0,-1000.0,-1000.0
-186.035,-563.965,-610.84,-565.918
817.383,160.645,216.309,79.59
-871.582,903.32,858.887,889.648
818.848,-799.805,-815.43,-801.758
86.914,717.285,750.488,710.938
-688.477,243.652,209.961,191.406
-1000.0,-831.055,-853.027,-770.508
-1000.0,-1000.0,-1000.0,-1000.0
-825.684,-1000.0,-1000.0,-1000.0
-369.141,-592.285,-722.168,-629.395
701.66,-164.551,-361.816,-179.199
-902.344,852.051,784.668,829.102
887.207,-809.57,-828.613,-823.242
306.152,845.215,975.586,945.312
-501.465,382.324,436.523,403.809
-987.793,-746.582,-641.602,-711.426
-1000.0,-1000.0,-1000.0,-1000.0
-946.777,-1000.0,-1000.0,-1000.0
-507.812,-750.0,-772.949,-809.57
496.582,-387.207,-474.609,-474.121
-966.797,764.648,667.48,708.008
977.051,-853.027,-911.133,-884.766
434.082,-994.141,-900.391,-922.852
-410.645,583.496,571.777,579.59
-940.43,-526.367,-258.789,-451.66
-1000.0,-910.156,-857.91,-928.223
-1000.0,-1000.0,-1000.0,-1000.0
-607.422,-942.383,-871.582,-996.094
208.496,-553.711,-528.809,-553.223
945.312,613.77,610.84,482.91
-1000.0,-1000.0,-1000.0,-1000.0
-945.312,-1000.0,-1000.0,-1000.0
-91.309,-868.652,-978.516,-829.59
476.074,138.672,63.965,133.789
-858.398,729.98,636.23,716.309
965.82,-774.414,-800.781,-795.898
168.945,-993.164,-996.094,-985.352
-497.559,12.207,191.895,5.859
-959.961,-386.719,-400.391,-608.398
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-319.824,-952.637,-959.961,-955.078
313.477,12.695,-63.965,27.832
-912.109,469.727,331.055,395.02
-875.977,-820.801,-851.562,-830.078
300.781,-885.742,-861.816,-887.695
-374.512,343.75,547.852,567.383
861.816,257.324,452.637,174.805
809.082,139.16,159.18,147.461
-824.707,-978.027,-970.215,962.891
733.398,-790.527,-801.758,-807.617
-38.574,863.281,835.449,754.883
-706.543,-207.52,-222.168,-181.152
-1000.0,-658.203,-636.23,-698.73
-1000.0,-1000.0,-1000.0,-1000.0
-906.738,-1000.0,-1000.0,-1000.0
-12.207,-809.082,-926.758,-841.309
551.27,143.555,95.703,136.23
-848.145,770.02,756.348,737.305
901.367,-792.48,-820.312,-804.199
95.215,-994.629,998.535,992.188
-545.898,20.508,196.289,30.762
-1000.0,-392.578,-384.277,-463.867
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-269.531,-956.055,-966.797,-984.375
343.75,41.016,-60.059,-87.891
-918.457,472.168,331.055,481.934
-889.648,-827.148,-854.98,-848.145
377.441,-884.277,-861.328,-887.207
-342.773,367.676,570.312,303.711
-911.621,-229.492,-217.773,-323.242
-1000.0,-1000.0,-890.625,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-582.031,-1000.0,-1000.0,-1000.0
181.641,-264.648,-142.578,-327.148
921.875,199.219,210.449,217.285
-829.59,-923.828,-936.523,-919.434
588.867,-814.941,-818.848,-812.5
-144.043,765.137,778.809,659.668
705.078,-203.125,-375.0,-231.445
-932.129,848.633,781.25,826.172
848.633,-813.965,-827.148,-831.543
248.535,899.414,-970.215,875.488
-298.34,428.223,500.977,398.926
-954.59,-722.656,-481.934,-538.574
-1000.0,-999.512,-987.793,-988.77
-988.281,-1000.0,-1000.0,-1000.0
-552.734,-863.281,-817.871,-869.629
384.766,-503.418,-490.723,-512.695
994.141,666.992,633.301,653.32
-975.098,-908.203,-957.031,-932.129
540.527,-892.09,-853.027,-918.945
-433.594,524.414,541.504,541.992
-890.137,-399.902,-166.504,-395.02
-1000.0,-848.633,-817.871,-881.836
-1000.0,-1000.0,-1000.0,-1000.0
-649.902,-1000.0,-1000.0,-1000.0
-799.316,-1000.0,-1000.0,-1000.0
-332.52,-587.402,-710.938,-609.375
719.238,-177.246,-332.52,-210.449
-900.879,849.609,782.715,832.031
907.715,-812.988,-825.195,-824.707
333.496,896.484,-989.258,972.168
-435.547,427.734,473.633,398.926
-963.379,-708.008,-581.055,-626.953
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-581.055,-783.203,-784.18,-938.965
406.738,-421.875,-483.887,-579.102
-992.676,734.375,651.367,680.176
-942.871,-878.418,-940.43,-918.457
611.816,-934.57,-874.023,-885.254
-241.211,526.367,544.434,566.895
-860.84,-374.023,-188.965,-273.926
-1000.0,-851.074,-824.707,-855.957
-1000.0,-1000.0,-1000.0,-1000.0
-690.918,-1000.0,-1000.0,-1000.0
-47.363,-583.008,-596.191,-588.379
857.91,375.488,485.84,121.582
-903.809,939.941,920.41,921.875
703.125,-810.059,-819.824,-806.641
-97.656,637.695,617.676,661.621
-629.395,90.82,73.242,139.16
-1000.0,-842.285,-856.934,-761.23
-1000.0,-1000.0,-1000.0,-1000.0
-825.195,-1000.0,-1000.0,-1000.0
-395.996,-605.469,-732.422,-650.879
660.645,-183.105,-390.137,-242.188
-919.922,838.867,770.02,811.035
929.688,-819.336,-839.844,-836.914
387.695,912.109,-969.238,968.262
866.211,338.867,506.836,160.645
-926.758,947.266,906.25,908.691
759.277,-809.082,-822.754,-810.547
80.566,618.652,635.742,707.031
-519.531,113.281,125.0,333.008
-1000.0,-833.984,-853.516,-749.512
-1000.0,-1000.0,-1000.0,-1000.0
-836.914,-1000.0,-1000.0,-1000.0
-379.395,-607.91,-739.746,-680.176
656.738,-208.008,-412.598,-277.344
-924.805,827.148,763.672,808.105
915.039,-823.242,-849.609,-838.379
354.004,944.824,-956.055,915.039
-562.012,463.379,482.422,402.344
-982.422,-670.898,-486.816,-745.605
