TP9,AF7,AF8,TP10
-1000.0,-835.449,-849.609,-791.016
-1000.0,-1000.0,-1000.0,-1000.0
-765.625,-1000.0,-1000.0,-1000.0
-280.273,-547.363,-616.211,-603.027
766.602,116.699,78.125,-75.195
-888.184,876.953,829.102,896.973
830.566,-803.223,-817.383,-800.293
151.855,810.547,895.996,816.895
-604.004,359.863,354.98,295.41
-1000.0,-791.016,-787.109,-796.387
-1000.0,-1000.0,-1000.0,-1000.0
-867.676,-1000.0,-1000.0,-1000.0
-436.523,-633.789,-750.0,-701.66
643.555,-207.031,-407.227,-342.773
-916.992,820.801,763.184,814.453
922.363,-820.801,-845.703,-835.449
365.723,941.406,-960.449,956.055
-422.363,447.266,490.723,400.879
-961.914,-676.758,-494.141,-618.652
-1000.0,-1000.0,-1000.0,-1000.0
-964.355,-1000.0,-1000.0,-1000.0
-578.613,-856.445,-842.773,-935.547
-1000.0,-837.402,-851.562,-834.473
-1000.0,-1000.0,-1000.0,-1000.0
-756.348,-1000.0,-1000.0,-1000.0
-242.676,-560.547,-624.512,-601.074
790.039,90.332,59.082,22.461
-873.047,889.648,832.031,864.258
834.961,-800.293,-815.918,-805.176
170.41,768.066,822.266,799.316
-591.797,288.086,260.254,375.977
-1000.0,-814.453,-803.223,-772.461
-1000.0,-1000.0,-1000.0,-1000.0
-849.121,-1000.0,-1000.0,-1000.0
-408.691,-611.328,-740.234,-672.852
656.738,-196.289,-385.254,-223.145
-909.668,839.355,773.438,819.336
908.203,-817.383,-835.449,-828.125
196.289,851.074,960.938,829.102
138.184,-187.5,-119.141,-585.449
934.082,269.531,266.602,192.383
-827.637,-887.695,-891.602,-926.758
606.934,-833.984,-828.613,-812.5
-158.203,670.898,729.492,662.598
-764.16,-238.77,-244.629,-228.516
-1000.0,-895.508,-737.305,-822.754
-1000.0,-1000.0,-1000.0,-1000.0
-765.625,-1000.0,-1000.0,-1000.0
71.289,-511.719,-403.32,-631.836
691.895,47.852,56.641,57.617
-826.172,-992.188,-979.004,899.414
