TP9,AF7,AF8,TP10
-1000.0,-837.891,-815.918,-849.121
-1000.0,-1000.0,-1000.0,-1000.0
-670.41,-1000.0,-1000.0,-1000.0
3.906,-581.543,-555.176,-598.633
887.207,490.234,556.641,271.973
-901.367,971.68,952.637,957.031
716.797,-825.684,-827.148,-831.543
-89.844,612.793,614.258,639.16
-757.812,87.891,101.074,-1.953
-1000.0,-836.914,-846.191,-837.891
-1000.0,-1000.0,-1000.0,-1000.0
-749.512,-1000.0,-1000.0,-1000.0
-237.793,-554.688,-609.375,-591.797
803.711,170.898,245.605,-20.996
-873.535,881.836,846.68,891.602
828.613,-805.176,-820.801,-799.805
157.715,764.16,830.566,782.227
-587.402,303.711,301.27,264.16
-1000.0,-810.547,-825.684,-775.879
-1000.0,-1000.0,-1000.0,-1000.0
-841.309,-1000.0,-1000.0,-1000.0
-935.059,-371.094,-112.793,-565.43
-1000.0,-848.633,-818.359,-874.023
-1000.0,-1000.0,-1000.0,-1000.0
-664.062,-1000.0,-1000.0,-1000.0
26.855,-587.891,-573.73,-573.242
896.484,484.863,556.152,388.184
-891.602,980.469,965.82,960.938
738.281,-822.754,-831.055,-831.543
-48.828,597.168,596.68,653.32
-760.742,-13.184,60.547,160.156
-1000.0,-839.355,-846.68,-824.707
-1000.0,-1000.0,-1000.0,-1000.0
-729.492,-1000.0,-1000.0,-1000.0
-187.5,-563.965,-604.492,-578.613
808.594,192.383,389.16,152.832
-874.023,897.949,860.84,892.09
811.035,-800.293,-819.336,-802.246
-15.137,669.434,652.832,675.781
299.316,28.32,-63.477,-233.887
-944.824,504.395,356.445,387.695
-870.605,-810.547,-838.867,-844.727
336.914,-890.137,-869.629,-868.164
-320.312,296.875,508.301,310.547
-830.566,-232.91,-207.031,-273.926
-1000.0,-1000.0,-912.598,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-560.059,-1000.0,-1000.0,-1000.0
192.871,-165.039,-115.234,-276.855
951.66,277.832,261.23,218.75
-834.473,-892.09,-889.648,-875.0
499.023,-832.031,-829.102,-824.219
-196.777,677.246,700.195,670.41
-794.922,-231.934,-251.953,-221.191
-1000.0,-906.25,-803.711,-852.051
-1000.0,-1000.0,-1000.0,-1000.0
-721.191,-1000.0,-1000.0,-1000.0
108.398,-386.719,-300.293,-557.129
835.449,161.133,153.809,151.855
-823.73,-957.52,-955.078,-988.77
697.266,-789.551,-815.918,-802.734
-110.84,867.188,783.691,789.551
-711.426,-206.055,-245.605,-146.973
-1000.0,-671.875,-686.035,-657.715
-1000.0,-1000.0,-1000.0,-1000.0
-858.398,-1000.0,-1000.0,-1000.0
5.859,-683.594,-824.219,-703.613
648.438,143.555,104.004,139.16
-836.426,924.805,953.125,853.516
903.32,-774.414,-789.062,-791.992
110.352,955.078,924.805,926.27
-620.117,-86.426,-138.184,-76.66
-1000.0,-448.73,-583.008,-452.148
987.793,-868.652,-943.359,-895.508
538.574,-908.691,-882.324,-941.406
-329.59,514.16,520.02,477.539
-916.504,-403.32,-174.316,-424.316
-1000.0,-885.254,-844.727,-905.762
-1000.0,-1000.0,-1000.0,-1000.0
-625.488,-959.473,-889.648,-1000.0
207.031,-562.988,-529.785,-571.777
947.266,606.445,606.445,495.117
-933.105,-951.66,-986.328,-989.258
650.391,-853.027,-836.914,-859.375
-147.461,564.941,574.707,585.938
-815.918,-30.273,-29.785,-405.762
-1000.0,-834.961,-835.938,-941.406
-1000.0,-1000.0,-1000.0,-1000.0
-691.895,-1000.0,-1000.0,-1000.0
-41.016,-569.824,-584.961,-583.984
868.164,386.719,501.465,356.934
-1000.0,-799.805,-810.547,-682.617
-1000.0,-1000.0,-1000.0,-1000.0
-854.98,-1000.0,-1000.0,-1000.0
-405.273,-617.676,-745.117,-651.367
664.062,-212.891,-406.25,-246.094
-909.668,841.797,771.484,825.684
917.969,-816.895,-843.262,-828.125
330.078,878.906,-962.402,906.738
-503.906,410.645,464.844,373.535
-979.492,-730.469,-605.469,-678.711
-1000.0,-1000.0,-1000.0,-989.258
-954.102,-1000.0,-1000.0,-1000.0
-532.227,-775.879,-780.762,-792.969
486.816,-411.621,-479.98,-420.898
-972.168,755.859,656.25,730.469
989.746,-858.887,-926.758,-878.906
517.578,-983.398,-909.18,-916.504
-319.824,508.301,505.371,509.277
-841.797,-461.426,-206.055,-419.922
-1000.0,-909.668,-858.398,-810.059
-1000.0,-1000.0,-1000.0,-1000.0
-625.488,-943.848,-869.141,-997.559
216.309,-566.895,-562.012,-621.582
940.918,603.027,609.375,451.66
-937.012,-946.289,-979.98,-989.258
630.859,-860.84,-838.379,-856.934
-224.121,544.922,575.195,608.398
-838.379,-192.383,-29.297,-102.539
-1000.0,-833.496,-835.938,-849.121
-1000.0,-1000.0,-1000.0,-1000.0
-699.707,-1000.0,-1000.0,-1000.0
-106.445,-570.801,-590.82,-580.566
851.562,346.191,470.215,135.254
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-322.754,-961.914,-979.492,-958.496
303.223,41.504,-59.57,-1.465
-932.129,485.84,339.844,481.934
-894.531,-811.523,-843.75,-839.844
317.871,-890.137,-864.746,-875.977
-373.535,293.457,501.465,290.039
-850.586,-244.141,-215.82,-364.258
-1000.0,-1000.0,-944.824,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-546.387,-1000.0,-1000.0,-1000.0
186.035,-206.543,-132.324,-252.93
942.383,235.84,248.535,235.84
-832.031,-901.855,-900.391,-905.273
541.016,-827.637,-827.148,-814.941
-208.496,717.285,751.953,809.57
-736.816,-226.562,-228.027,-166.016
568.848,145.02,92.285,123.047
-843.75,785.156,783.203,648.926
938.477,-773.438,-798.34,-786.621
153.32,980.469,991.211,952.148
-557.129,-21.973,191.406,-56.152
-1000.0,-397.461,-370.605,-486.328
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-235.352,-939.941,-954.59,-956.055
360.352,56.641,-48.828,2.441
-908.203,505.859,360.84,527.832
-918.945,-815.918,-846.68,-811.035
228.516,-897.949,-880.859,-895.508
-400.391,318.359,528.32,306.641
-909.18,-233.398,-210.938,-345.703
-1000.0,-1000.0,-938.477,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-541.504,-1000.0,-1000.0,-1000.0
200.684,-196.289,-130.371,-441.406
955.078,244.141,248.047,285.156
-833.008,-906.738,-915.527,-903.809
527.344,-819.336,-823.73,-819.336
-130.859,736.328,764.16,515.625
-803.223,-239.258,-248.047,-236.816
-1000.0,-853.516,-708.008,-854.492
-1000.0,-1000.0,-1000.0,-1000.0
-811.523,-1000.0,-1000.0,-1000.0
56.152,-642.578,-676.758,-664.551
729.004,138.184,125.0,144.043
-832.52,929.688,998.535,876.465
834.473,-776.855,-785.645,-791.504
36.133,928.711,960.449,895.02
-650.391,-52.246,47.852,-78.125
-991.699,711.914,649.902,712.891
927.734,-863.281,-924.805,-916.504
450.195,-951.172,-888.672,-976.074
-199.707,517.09,516.602,512.207
-805.176,-504.883,-156.738,-211.426
-1000.0,-866.699,-829.59,-887.695
-1000.0,-1000.0,-1000.0,-1000.0
-647.949,-1000.0,-1000.0,-1000.0
97.168,-584.961,-561.523,-591.309
900.879,441.406,538.086,366.211
-904.297,960.938,933.594,963.379
720.215,-814.941,-825.195,-825.684
-293.457,605.469,606.934,635.742
-810.547,39.551,87.891,-40.527
-1000.0,-844.727,-850.586,-841.309
-1000.0,-1000.0,-1000.0,-1000.0
-729.98,-1000.0,-1000.0,-1000.0
-921.387,-1000.0,-1000.0,-1000.0
-498.535,-751.465,-773.438,-773.926
504.395,-396.484,-474.609,-417.969
-968.262,747.559,660.156,728.027
992.188,-861.328,-923.828,-885.254
551.27,-948.73,-893.066,-913.574
-290.527,515.137,518.066,522.949
-866.211,-479.004,-215.82,-365.723
-1000.0,-874.512,-833.008,-893.555
-1000.0,-1000.0,-1000.0,-1000.0
-682.129,-976.562,-911.621,-1000.0
74.707,-579.102,-557.129,-607.91
916.992,540.527,573.73,279.785
-889.648,-997.559,984.863,950.195
761.719,-823.73,-830.566,-830.566
-44.434,602.051,594.238,687.012
-737.305,31.25,57.129,144.043
-1000.0,-838.379,-854.492,-803.711
-1000.0,-1000.0,-1000.0,-1000.0
-785.156,-1000.0,-1000.0,-1000.0
-311.523,-571.289,-690.43,-633.301
725.586,-43.945,-209.473,-148.926
-898.438,867.188,806.641,861.328
811.523,-804.688,-813.477,-814.941
171.387,820.312,879.395,757.324
-488.281,343.75,336.426,356.445
-928.223,-798.828,-796.875,-610.352
-1000.0,-1000.0,-1000.0,-994.141
-950.195,-1000.0,-1000.0,-1000.0
-523.926,-778.809,-779.297,-834.473
263.184,-416.504,-480.469,-460.938
812.988,534.668,365.234,414.062
-993.652,-875.488,-938.477,-912.109
587.891,-935.059,-877.93,-921.875
637.695,-119.629,-218.75,-227.051
-924.316,869.141,816.406,863.281
837.402,-802.734,-816.406,-818.359
267.578,820.312,941.895,807.617
-371.582,341.797,426.758,456.543
-955.078,-769.043,-662.109,-562.012
-1000.0,-1000.0,-1000.0,-994.629
-954.102,-1000.0,-1000.0,-1000.0
-532.227,-788.574,-783.203,-851.562
413.086,-450.684,-488.77,-480.957
-997.559,708.496,644.043,654.297
-979.98,-890.137,-947.266,-930.176
566.895,-909.668,-868.652,-945.312
-280.273,525.879,542.969,533.691
-934.082,-429.199,-197.266,-539.062
-1000.0,-859.863,-820.312,-926.27
-1000.0,-1000.0,-1000.0,-1000.0
-911.621,-1000.0,-1000.0,-1000.0
-522.461,-32.227,109.375,75.684
-988.281,-415.527,-431.152,-432.129
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-330.078,-971.191,-982.91,-985.84
297.852,20.02,-62.012,-61.523
996.094,471.191,340.332,346.68
-892.09,-824.707,-848.633,-812.5
459.473,-884.277,-856.934,-866.211
-182.129,379.395,559.082,474.121
-784.18,-216.309,-228.516,-216.309
-1000.0,-1000.0,-883.789,-929.688
-343.262,508.301,482.91,509.766
-922.363,-541.992,-276.855,-520.02
-1000.0,-939.941,-907.715,-959.961
-1000.0,-1000.0,-1000.0,-1000.0
-605.957,-888.672,-834.473,-957.52
258.789,-527.344,-505.859,-574.707
965.332,672.363,633.301,578.613
-955.078,-913.086,-963.867,-954.59
602.051,-880.859,-845.703,-904.785
-226.562,529.297,549.316,544.922
-859.375,-278.32,-92.285,-338.867
-1000.0,-842.773,-817.383,-864.258
-1000.0,-1000.0,-1000.0,-1000.0
-666.504,-1000.0,-1000.0,-1000.0
46.387,-581.543,-555.664,-584.961
893.066,495.605,560.059,275.879
-884.277,975.098,954.102,957.031
751.953,-823.242,-824.219,-828.125
-29.297,605.957,609.863,653.32
-742.188,31.738,53.223,-78.613
-1000.0,-838.379,-842.773,-837.402
452.148,982.91,-923.828,890.137
-416.504,491.211,484.863,452.148
-931.152,-607.422,-336.914,-490.234
-1000.0,-944.824,-919.922,-944.824
-1000.0,-1000.0,-1000.0,-1000.0
-585.449,-882.324,-828.125,-924.316
309.082,-527.344,-508.301,-509.766
975.098,652.344,629.883,609.375
-946.777,-913.086,-959.473,-941.406
604.004,-901.367,-855.469,-876.465
-202.148,527.344,542.48,552.734
-853.027,-367.188,-112.793,-254.395
-1000.0,-860.352,-828.613,-871.582
-1000.0,-1000.0,-1000.0,-1000.0
-669.922,-1000.0,-972.656,-1000.0
82.031,-592.773,-559.082,-585.938
894.043,494.629,555.664,372.559
-924.316,-981.445,-988.77,959.473
-987.305,-1000.0,-1000.0,-1000.0
-143.066,-876.465,-961.426,-933.594
434.082,140.137,73.73,95.703
-873.047,678.711,568.359,591.309
-968.262,-779.297,-809.57,-791.504
286.621,-962.402,-983.887,-958.008
-446.289,86.914,360.352,110.84
-932.129,-347.168,-294.434,-402.344
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-354.492,-979.492,-980.469,-1000.0
293.945,15.625,-63.965,-113.281
-937.988,483.887,337.891,458.008
-881.348,-832.031,-850.098,-841.797
345.703,-895.508,-869.141,-879.883
-360.352,392.578,502.441,423.34
-873.047,-220.215,-209.961,-294.922
-1000.0,-1000.0,-977.539,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-480.469,-1000.0,-1000.0,-1000.0
201.66,-109.863,-118.652,-200.684
971.191,329.102,283.203,281.738
-841.797,-888.184,-882.324,-886.23
493.652,-840.332,-831.543,-826.66
-239.746,672.852,666.992,650.879
-816.406,-227.051,-248.535,-186.035
-1000.0,-929.199,-817.383,-904.785
-1000.0,-1000.0,-1000.0,-1000.0
-686.523,-1000.0,-1000.0,-1000.0
123.047,-340.332,-259.766,-453.125
861.816,180.664,174.316,167.969
-825.684,-946.777,-948.242,-976.074
651.855,-795.41,-819.336,-801.758
-108.398,863.281,779.297,835.449
662.598,-214.844,-445.312,-284.668
-914.551,808.105,747.07,804.199
912.598,-815.43,-846.68,-833.008
312.012,964.355,-953.125,932.129
-512.695,462.402,491.699,405.762
-980.957,-659.18,-420.898,-644.531
-1000.0,-1000.0,-1000.0,-992.188
-963.867,-1000.0,-1000.0,-1000.0
-543.457,-790.527,-781.738,-847.168
477.051,-418.457,-487.793,-493.164
-974.609,747.07,649.414,689.941
-997.559,-862.305,-929.199,-890.625
515.625,-916.504,-895.02,958.496
-331.055,513.672,515.625,367.676
-938.477,-440.918,-229.004,-763.672
-1000.0,-682.617,-646.484,-796.387
-1000.0,-1000.0,-1000.0,-1000.0
-616.211,-952.148,-883.789,-956.055
-92.773,625.0,620.605,722.656
-747.07,79.59,80.566,204.102
-1000.0,-839.355,-851.074,-779.785
-1000.0,-1000.0,-1000.0,-1000.0
-754.883,-1000.0,-1000.0,-1000.0
-206.055,-564.453,-619.629,-591.309
809.57,100.586,50.293,20.508
-874.023,896.484,829.102,875.0
816.406,-800.293,-817.383,-801.27
87.402,747.07,790.039,768.555
-637.695,259.766,250.0,355.957
-1000.0,-819.336,-838.867,-778.809
-1000.0,-1000.0,-1000.0,-1000.0
-839.355,-1000.0,-1000.0,-1000.0
-398.926,-613.77,-743.164,-655.273
665.527,-204.102,-411.621,-204.102
-908.691,840.82,768.066,808.105
913.086,-816.406,-839.355,-830.078
331.543,922.363,-967.773,920.41
-507.324,413.086,462.402,438.477
-972.168,-722.656,-589.355,-725.586
-1000.0,-1000.0,-1000.0,-999.512
