timestamps,TP9,AF7,AF8,TP10
1669195274.326,627.930,-817.871,-836.426,289.551
1669195274.330,-972.656,563.965,621.094,579.102
1669195274.334,-479.004,-846.680,-813.477,-36.133
1669195274.338,-1000.000,-1000.000,-1000.000,-550.781
1669195274.342,-837.402,333.984,343.750,-364.258
1669195274.346,550.293,-840.820,-826.660,194.824
1669195274.350,933.105,529.785,444.824,526.855
1669195274.353,-359.863,-722.168,-831.055,48.340
1669195274.357,-1000.000,-1000.000,-1000.000,-522.949
1669195274.361,-874.512,-27.344,58.105,-433.594
1669195274.365,489.746,-902.832,-860.840,119.629
1669195274.369,-820.801,812.500,735.352,578.125
1669195274.371,24.414,-558.594,-664.551,154.785
1669195274.375,-1000.000,-1000.000,-1000.000,-480.957
1669195274.379,-947.266,-346.680,-72.266,-447.266
1669195274.383,346.680,986.816,-921.387,31.738
1669195274.387,-794.922,857.910,815.918,542.969
1669195274.391,388.672,-565.918,-563.477,233.887
1669195274.395,-916.504,-1000.000,-1000.000,-465.332
1669195274.398,-1000.000,-608.398,-319.824,-517.090
1669195274.402,133.789,833.496,964.355,-41.992
1669195274.406,-833.496,854.492,823.730,511.230
1669195274.410,626.465,-547.852,-500.488,331.055
1669195274.414,-755.859,-1000.000,-1000.000,-371.094
1669195274.417,-1000.000,-794.922,-720.215,-499.512
1669195274.421,-149.902,633.789,697.266,-79.590
1669195274.425,-936.035,-913.574,-986.328,511.230
1669195274.429,783.203,-339.844,-461.426,438.477
1669195274.433,-615.723,-1000.000,-1000.000,-299.805
1669195274.437,-1000.000,-830.566,-843.262,-536.621
1669195274.441,-474.121,542.480,569.824,-171.875
1669195274.444,926.758,-845.215,-909.180,443.359
1669195274.448,877.930,-88.867,-337.891,501.465
1669195274.452,-579.102,-1000.000,-1000.000,-226.074
1669195274.456,-1000.000,-844.727,-816.406,-550.781
1669195274.460,-707.031,514.160,495.605,-225.098
1669195274.462,775.391,-814.453,-827.637,380.859
1669195274.466,928.711,279.785,451.172,547.852
1669195274.470,-593.750,-1000.000,-944.824,-136.230
