timestamps,TP9,AF7,AF8,TP10
1669629470.633,31.250,-731.934,-903.320,-709.961
1669629470.637,-1000.000,-1000.000,-1000.000,-1000.000
1669629470.641,-914.551,-229.492,-217.773,-282.715
1669629470.645,130.371,-965.820,-986.328,-991.699
1669629470.649,-837.402,906.250,951.660,920.898
1669629470.653,173.828,-370.605,-248.047,-351.562
1669629470.657,-1000.000,-1000.000,-1000.000,-1000.000
1669629470.660,-996.582,-368.164,-416.992,-413.574
1669629470.664,-15.625,918.457,887.695,878.418
1669629470.668,-852.051,-930.176,-934.570,-924.316
1669629470.672,325.684,-76.660,-90.332,-71.777
1669629470.676,-956.543,-1000.000,-1000.000,-1000.000
1669629470.678,-1000.000,-570.801,-636.230,-609.375
1669629470.682,-211.914,760.254,734.375,692.383
1669629470.686,-925.781,-854.492,-871.094,-848.633
1669629470.690,506.836,112.793,-50.781,108.887
1669629470.694,-815.430,-1000.000,-1000.000,-1000.000
1669629470.698,-1000.000,-869.141,-755.371,-845.703
1669629470.702,-382.324,432.617,564.941,430.176
1669629470.705,926.758,-793.945,-820.312,-803.223
1669629470.709,725.098,147.461,94.238,147.949
1669629470.713,-589.355,-1000.000,-1000.000,-1000.000
1669629470.717,-1000.000,-1000.000,-937.500,-1000.000
1669629470.721,-462.402,118.164,300.293,110.840
1669629470.723,837.402,-774.414,-787.598,-788.086
1669629470.727,916.992,165.039,163.086,204.102
1669629470.731,-330.566,-1000.000,-1000.000,-1000.000
1669629470.735,-1000.000,-1000.000,-1000.000,-1000.000
1669629470.739,-601.074,-111.816,-146.973,-101.074
1669629470.743,639.648,-801.270,-821.777,-809.570
1669629470.747,-956.543,360.840,288.086,378.418
1669629470.750,-137.695,-942.383,-980.469,-933.594
1669629470.754,-1000.000,-1000.000,-1000.000,-1000.000
1669629470.758,-769.531,-226.074,-251.953,-187.500
1669629470.762,359.863,-864.746,-838.379,-867.188
1669629470.766,-872.070,598.633,396.973,624.023
1669629470.784,33.203,-786.133,-940.918,-734.863
1669629470.788,-1000.000,-1000.000,-1000.000,-1000.000
1669629470.792,-866.211,-224.609,-232.910,-256.836
1669629470.796,207.031,-945.801,-950.684,-964.844
1669629470.800,-840.820,855.957,837.402,874.512
1669629470.804,169.434,-453.125,-427.734,-419.434
1669629470.808,-1000.000,-1000.000,-1000.000,-1000.000
1669629470.811,-971.680,-321.289,-348.145,-361.328
1669629470.815,41.016,946.777,925.781,919.434
1669629470.819,-847.168,-955.566,-958.008,-948.730
1669629470.823,315.430,-120.605,-116.699,-114.746
1669629470.827,-965.332,-1000.000,-1000.000,-1000.000
1669629470.828,-1000.000,-518.066,-606.445,-554.688
1669629470.832,-137.695,804.688,763.672,745.117
1669629470.836,-902.344,-867.676,-879.395,-861.328
1669629470.840,493.652,104.492,-57.617,86.426
1669629470.844,-817.383,-1000.000,-1000.000,-1000.000
1669629470.848,-1000.000,-803.223,-725.098,-826.172
1669629470.852,-338.867,526.367,604.980,448.242
