Image_Name,xmin,ymin,xmax,ymax
1.png,8277252.331787875,3693961.9585769293,8277552.331787875,3694261.9585769293
2.png,8277252.331787875,3694261.9585769293,8277552.331787875,3694561.9585769293
3.png,8277252.331787875,3694561.9585769293,8277552.331787875,3694861.9585769293
4.png,8277552.331787875,3693061.9585769293,8277852.331787875,3693361.9585769293
5.png,8277552.331787875,3693361.9585769293,8277852.331787875,3693661.9585769293
6.png,8277552.331787875,3693661.9585769293,8277852.331787875,3693961.9585769293
7.png,8277552.331787875,3693961.9585769293,8277852.331787875,3694261.9585769293
8.png,8277852.331787875,3693061.9585769293,8278152.331787875,3693361.9585769293
9.png,8277852.331787875,3693361.9585769293,8278152.331787875,3693661.9585769293
10.png,8277852.331787875,3693661.9585769293,8278152.331787875,3693961.9585769293
11.png,8277852.331787875,3693961.9585769293,8278152.331787875,3694261.9585769293
12.png,8278152.331787875,3692161.9585769293,8278452.331787875,3692461.9585769293
13.png,8278152.331787875,3692461.9585769293,8278452.331787875,3692761.9585769293
14.png,8278152.331787875,3692761.9585769293,8278452.331787875,3693061.9585769293
15.png,8278152.331787875,3693061.9585769293,8278452.331787875,3693361.9585769293
16.png,8278152.331787875,3693361.9585769293,8278452.331787875,3693661.9585769293
17.png,8278152.331787875,3693661.9585769293,8278452.331787875,3693961.9585769293
18.png,8278152.331787875,3693961.9585769293,8278452.331787875,3694261.9585769293
19.png,8278452.331787875,3691861.9585769293,8278752.331787875,3692161.9585769293
20.png,8278452.331787875,3692161.9585769293,8278752.331787875,3692461.9585769293
21.png,8278452.331787875,3692461.9585769293,8278752.331787875,3692761.9585769293
22.png,8278452.331787875,3692761.9585769293,8278752.331787875,3693061.9585769293
23.png,8278452.331787875,3693061.9585769293,8278752.331787875,3693361.9585769293
24.png,8278452.331787875,3693361.9585769293,8278752.331787875,3693661.9585769293
25.png,8278452.331787875,3693661.9585769293,8278752.331787875,3693961.9585769293
26.png,8278452.331787875,3693961.9585769293,8278752.331787875,3694261.9585769293
27.png,8278452.331787875,3694261.9585769293,8278752.331787875,3694561.9585769293
28.png,8278452.331787875,3694561.9585769293,8278752.331787875,3694861.9585769293
29.png,8278452.331787875,3694861.9585769293,8278752.331787875,3695161.9585769293
30.png,8278752.331787875,3692161.9585769293,8279052.331787875,3692461.9585769293
31.png,8278752.331787875,3692461.9585769293,8279052.331787875,3692761.9585769293
32.png,8278752.331787875,3692761.9585769293,8279052.331787875,3693061.9585769293
33.png,8278752.331787875,3693061.9585769293,8279052.331787875,3693361.9585769293
34.png,8278752.331787875,3693361.9585769293,8279052.331787875,3693661.9585769293
35.png,8278752.331787875,3693661.9585769293,8279052.331787875,3693961.9585769293
36.png,8278752.331787875,3693961.9585769293,8279052.331787875,3694261.9585769293
37.png,8278752.331787875,3694261.9585769293,8279052.331787875,3694561.9585769293
38.png,8278752.331787875,3694561.9585769293,8279052.331787875,3694861.9585769293
39.png,8278752.331787875,3694861.9585769293,8279052.331787875,3695161.9585769293
40.png,8278752.331787875,3695161.9585769293,8279052.331787875,3695461.9585769293
41.png,8279052.331787875,3692461.9585769293,8279352.331787875,3692761.9585769293
42.png,8279052.331787875,3692761.9585769293,8279352.331787875,3693061.9585769293
43.png,8279052.331787875,3693061.9585769293,8279352.331787875,3693361.9585769293
44.png,8279052.331787875,3693361.9585769293,8279352.331787875,3693661.9585769293
45.png,8279052.331787875,3693661.9585769293,8279352.331787875,3693961.9585769293
46.png,8279052.331787875,3693961.9585769293,8279352.331787875,3694261.9585769293
47.png,8279052.331787875,3694261.9585769293,8279352.331787875,3694561.9585769293
48.png,8279052.331787875,3694561.9585769293,8279352.331787875,3694861.9585769293
49.png,8279052.331787875,3694861.9585769293,8279352.331787875,3695161.9585769293
50.png,8279052.331787875,3695161.9585769293,8279352.331787875,3695461.9585769293
51.png,8279352.331787875,3692761.9585769293,8279652.331787875,3693061.9585769293
52.png,8279352.331787875,3693061.9585769293,8279652.331787875,3693361.9585769293
53.png,8279352.331787875,3693361.9585769293,8279652.331787875,3693661.9585769293
54.png,8279352.331787875,3693661.9585769293,8279652.331787875,3693961.9585769293
55.png,8279352.331787875,3693961.9585769293,8279652.331787875,3694261.9585769293
56.png,8279352.331787875,3694261.9585769293,8279652.331787875,3694561.9585769293
57.png,8279352.331787875,3694561.9585769293,8279652.331787875,3694861.9585769293
58.png,8279352.331787875,3694861.9585769293,8279652.331787875,3695161.9585769293
59.png,8279352.331787875,3695161.9585769293,8279652.331787875,3695461.9585769293
60.png,8279652.331787875,3692761.9585769293,8279952.331787875,3693061.9585769293
61.png,8279652.331787875,3693061.9585769293,8279952.331787875,3693361.9585769293
62.png,8279652.331787875,3693361.9585769293,8279952.331787875,3693661.9585769293
63.png,8279652.331787875,3693661.9585769293,8279952.331787875,3693961.9585769293
64.png,8279652.331787875,3693961.9585769293,8279952.331787875,3694261.9585769293
65.png,8279652.331787875,3694261.9585769293,8279952.331787875,3694561.9585769293
66.png,8279652.331787875,3694561.9585769293,8279952.331787875,3694861.9585769293
67.png,8279652.331787875,3694861.9585769293,8279952.331787875,3695161.9585769293
68.png,8279652.331787875,3695161.9585769293,8279952.331787875,3695461.9585769293
69.png,8279652.331787875,3695461.9585769293,8279952.331787875,3695761.9585769293
70.png,8279652.331787875,3695761.9585769293,8279952.331787875,3696061.9585769293
71.png,8279952.331787875,3692461.9585769293,8280252.331787875,3692761.9585769293
72.png,8279952.331787875,3692761.9585769293,8280252.331787875,3693061.9585769293
73.png,8279952.331787875,3693061.9585769293,8280252.331787875,3693361.9585769293
74.png,8279952.331787875,3693361.9585769293,8280252.331787875,3693661.9585769293
75.png,8279952.331787875,3693661.9585769293,8280252.331787875,3693961.9585769293
76.png,8279952.331787875,3693961.9585769293,8280252.331787875,3694261.9585769293
77.png,8279952.331787875,3694261.9585769293,8280252.331787875,3694561.9585769293
78.png,8279952.331787875,3694561.9585769293,8280252.331787875,3694861.9585769293
79.png,8279952.331787875,3694861.9585769293,8280252.331787875,3695161.9585769293
80.png,8279952.331787875,3695161.9585769293,8280252.331787875,3695461.9585769293
81.png,8279952.331787875,3695461.9585769293,8280252.331787875,3695761.9585769293
82.png,8279952.331787875,3695761.9585769293,8280252.331787875,3696061.9585769293
83.png,8279952.331787875,3696061.9585769293,8280252.331787875,3696361.9585769293
84.png,8279952.331787875,3696361.9585769293,8280252.331787875,3696661.9585769293
85.png,8280252.331787875,3691561.9585769293,8280552.331787875,3691861.9585769293
86.png,8280252.331787875,3691861.9585769293,8280552.331787875,3692161.9585769293
87.png,8280252.331787875,3692161.9585769293,8280552.331787875,3692461.9585769293
88.png,8280252.331787875,3692461.9585769293,8280552.331787875,3692761.9585769293
89.png,8280252.331787875,3692761.9585769293,8280552.331787875,3693061.9585769293
90.png,8280252.331787875,3693061.9585769293,8280552.331787875,3693361.9585769293
91.png,8280252.331787875,3693361.9585769293,8280552.331787875,3693661.9585769293
92.png,8280252.331787875,3693661.9585769293,8280552.331787875,3693961.9585769293
93.png,8280252.331787875,3693961.9585769293,8280552.331787875,3694261.9585769293
94.png,8280252.331787875,3694261.9585769293,8280552.331787875,3694561.9585769293
95.png,8280252.331787875,3694561.9585769293,8280552.331787875,3694861.9585769293
96.png,8280252.331787875,3694861.9585769293,8280552.331787875,3695161.9585769293
97.png,8280252.331787875,3695161.9585769293,8280552.331787875,3695461.9585769293
98.png,8280252.331787875,3695461.9585769293,8280552.331787875,3695761.9585769293
99.png,8280252.331787875,3695761.9585769293,8280552.331787875,3696061.9585769293
100.png,8280252.331787875,3696061.9585769293,8280552.331787875,3696361.9585769293
101.png,8280252.331787875,3696361.9585769293,8280552.331787875,3696661.9585769293
102.png,8280552.331787875,3691561.9585769293,8280852.331787875,3691861.9585769293
103.png,8280552.331787875,3691861.9585769293,8280852.331787875,3692161.9585769293
104.png,8280552.331787875,3692161.9585769293,8280852.331787875,3692461.9585769293
105.png,8280552.331787875,3692461.9585769293,8280852.331787875,3692761.9585769293
106.png,8280552.331787875,3692761.9585769293,8280852.331787875,3693061.9585769293
107.png,8280552.331787875,3693061.9585769293,8280852.331787875,3693361.9585769293
108.png,8280552.331787875,3693361.9585769293,8280852.331787875,3693661.9585769293
109.png,8280552.331787875,3693661.9585769293,8280852.331787875,3693961.9585769293
110.png,8280552.331787875,3693961.9585769293,8280852.331787875,3694261.9585769293
111.png,8280552.331787875,3694261.9585769293,8280852.331787875,3694561.9585769293
112.png,8280552.331787875,3694561.9585769293,8280852.331787875,3694861.9585769293
113.png,8280552.331787875,3694861.9585769293,8280852.331787875,3695161.9585769293
114.png,8280552.331787875,3695161.9585769293,8280852.331787875,3695461.9585769293
115.png,8280552.331787875,3695461.9585769293,8280852.331787875,3695761.9585769293
116.png,8280552.331787875,3695761.9585769293,8280852.331787875,3696061.9585769293
117.png,8280552.331787875,3696061.9585769293,8280852.331787875,3696361.9585769293
118.png,8280552.331787875,3696361.9585769293,8280852.331787875,3696661.9585769293
119.png,8280852.331787875,3691561.9585769293,8281152.331787875,3691861.9585769293
120.png,8280852.331787875,3691861.9585769293,8281152.331787875,3692161.9585769293
121.png,8280852.331787875,3692161.9585769293,8281152.331787875,3692461.9585769293
122.png,8280852.331787875,3692461.9585769293,8281152.331787875,3692761.9585769293
123.png,8280852.331787875,3692761.9585769293,8281152.331787875,3693061.9585769293
124.png,8280852.331787875,3693061.9585769293,8281152.331787875,3693361.9585769293
125.png,8280852.331787875,3693361.9585769293,8281152.331787875,3693661.9585769293
126.png,8280852.331787875,3693661.9585769293,8281152.331787875,3693961.9585769293
127.png,8280852.331787875,3693961.9585769293,8281152.331787875,3694261.9585769293
128.png,8280852.331787875,3694261.9585769293,8281152.331787875,3694561.9585769293
129.png,8280852.331787875,3694561.9585769293,8281152.331787875,3694861.9585769293
130.png,8280852.331787875,3694861.9585769293,8281152.331787875,3695161.9585769293
131.png,8280852.331787875,3695161.9585769293,8281152.331787875,3695461.9585769293
132.png,8280852.331787875,3695461.9585769293,8281152.331787875,3695761.9585769293
133.png,8280852.331787875,3695761.9585769293,8281152.331787875,3696061.9585769293
134.png,8280852.331787875,3696061.9585769293,8281152.331787875,3696361.9585769293
135.png,8280852.331787875,3696361.9585769293,8281152.331787875,3696661.9585769293
136.png,8281152.331787875,3691561.9585769293,8281452.331787875,3691861.9585769293
137.png,8281152.331787875,3691861.9585769293,8281452.331787875,3692161.9585769293
138.png,8281152.331787875,3692161.9585769293,8281452.331787875,3692461.9585769293
139.png,8281152.331787875,3692461.9585769293,8281452.331787875,3692761.9585769293
140.png,8281152.331787875,3692761.9585769293,8281452.331787875,3693061.9585769293
141.png,8281152.331787875,3693061.9585769293,8281452.331787875,3693361.9585769293
142.png,8281152.331787875,3693361.9585769293,8281452.331787875,3693661.9585769293
143.png,8281152.331787875,3693661.9585769293,8281452.331787875,3693961.9585769293
144.png,8281152.331787875,3693961.9585769293,8281452.331787875,3694261.9585769293
145.png,8281152.331787875,3694261.9585769293,8281452.331787875,3694561.9585769293
146.png,8281152.331787875,3694561.9585769293,8281452.331787875,3694861.9585769293
147.png,8281152.331787875,3694861.9585769293,8281452.331787875,3695161.9585769293
