Image_Name,xmin,ymin,xmax,ymax
1.png,8279912.044476247,3695222.3500812175,8280212.044476247,3695522.3500812175
2.png,8279912.044476247,3695522.3500812175,8280212.044476247,3695822.3500812175
3.png,8279912.044476247,3695822.3500812175,8280212.044476247,3696122.3500812175
4.png,8279912.044476247,3696122.3500812175,8280212.044476247,3696422.3500812175
5.png,8280212.044476247,3694922.3500812175,8280512.044476247,3695222.3500812175
6.png,8280212.044476247,3695222.3500812175,8280512.044476247,3695522.3500812175
7.png,8280212.044476247,3695522.3500812175,8280512.044476247,3695822.3500812175
8.png,8280212.044476247,3695822.3500812175,8280512.044476247,3696122.3500812175
9.png,8280212.044476247,3696122.3500812175,8280512.044476247,3696422.3500812175
10.png,8280212.044476247,3696422.3500812175,8280512.044476247,3696722.3500812175
11.png,8280512.044476247,3694922.3500812175,8280812.044476247,3695222.3500812175
12.png,8280512.044476247,3695222.3500812175,8280812.044476247,3695522.3500812175
13.png,8280512.044476247,3695522.3500812175,8280812.044476247,3695822.3500812175
14.png,8280512.044476247,3695822.3500812175,8280812.044476247,3696122.3500812175
15.png,8280512.044476247,3696122.3500812175,8280812.044476247,3696422.3500812175
16.png,8280512.044476247,3696422.3500812175,8280812.044476247,3696722.3500812175
17.png,8280812.044476247,3693722.3500812175,8281112.044476247,3694022.3500812175
18.png,8280812.044476247,3694022.3500812175,8281112.044476247,3694322.3500812175
19.png,8280812.044476247,3694622.3500812175,8281112.044476247,3694922.3500812175
20.png,8280812.044476247,3694922.3500812175,8281112.044476247,3695222.3500812175
21.png,8280812.044476247,3695222.3500812175,8281112.044476247,3695522.3500812175
22.png,8280812.044476247,3695522.3500812175,8281112.044476247,3695822.3500812175
23.png,8280812.044476247,3695822.3500812175,8281112.044476247,3696122.3500812175
24.png,8280812.044476247,3696122.3500812175,8281112.044476247,3696422.3500812175
25.png,8280812.044476247,3696422.3500812175,8281112.044476247,3696722.3500812175
26.png,8281112.044476247,3693722.3500812175,8281412.044476247,3694022.3500812175
27.png,8281112.044476247,3694022.3500812175,8281412.044476247,3694322.3500812175
28.png,8281112.044476247,3694322.3500812175,8281412.044476247,3694622.3500812175
29.png,8281112.044476247,3694622.3500812175,8281412.044476247,3694922.3500812175
30.png,8281112.044476247,3694922.3500812175,8281412.044476247,3695222.3500812175
31.png,8281112.044476247,3695222.3500812175,8281412.044476247,3695522.3500812175
32.png,8281112.044476247,3695522.3500812175,8281412.044476247,3695822.3500812175
33.png,8281112.044476247,3695822.3500812175,8281412.044476247,3696122.3500812175
